url_path,title,h1,meta_description_short,intent,audience,seo_keyword_main,tier_propuesto,tier_reasoning
/escuelas-dignas-cdmx/index.html,Escuelas dignas CDMX 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en CDMX · Tu cancha de fútbol 7 con La Escuela Es Nuestra 2026,"CDMX 2026: 2,309 planteles públicos en las 16 alcaldías reciben apoyo La Escuela",program-leen,b2b-escuela-publica-leen,escuelas dignas cdmx,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-chiapas/index.html,Escuelas dignas Chiapas 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Chiapas: tu cancha F7 con La Escuela Es Nuestra 2026,"Escuelas dignas en Chiapas con La Escuela Es Nuestra 2026: $2,848 mdp y 9,681 pl",program-leen,b2b-escuela-publica-leen,escuelas dignas chiapas,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-coahuila/index.html,Escuelas dignas Coahuila 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Coahuila: tu cancha F7 con La Escuela Es Nuestra 2026,Escuelas dignas en Coahuila con La Escuela Es Nuestra 2026: tarjetas LEEN ya ent,program-leen,b2b-escuela-publica-leen,escuelas dignas coahuila,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-estado-de-mexico/index.html,Escuelas dignas Estado de México 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Estado de México · Tu cancha de fútbol 7 con La Escuela Es Nuestra 2026,EdoMex 2026: la entidad con más matrícula del país. Cancha de fútbol 7 con La Es,program-leen,b2b-escuela-publica-leen,escuelas dignas estado de mexico,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-guanajuato/index.html,Escuelas dignas Guanajuato 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Guanajuato: tu cancha F7 con La Escuela Es Nuestra 2026,"Escuelas dignas en Guanajuato con La Escuela Es Nuestra 2026: $1,500 mdp asignad",program-leen,b2b-escuela-publica-leen,escuelas dignas guanajuato,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-guerrero/index.html,Escuelas dignas Guerrero 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Guerrero: tu cancha F7 con La Escuela Es Nuestra 2026,"Escuelas dignas en Guerrero con La Escuela Es Nuestra 2026: ~$2,100 mdp para ~7,",program-leen,b2b-escuela-publica-leen,escuelas dignas guerrero,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-hidalgo/index.html,Escuelas dignas Hidalgo 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Hidalgo: tu cancha F7 con La Escuela Es Nuestra 2026,"Escuelas dignas en Hidalgo con La Escuela Es Nuestra 2026: 2,800 planteles hidal",program-leen,b2b-escuela-publica-leen,escuelas dignas hidalgo,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-jalisco/index.html,Escuelas dignas Jalisco 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Jalisco · Tu cancha de fútbol 7 con La Escuela Es Nuestra 2026,"Jalisco 2026: 2,367 planteles en 125 municipios reciben LEEN + Recrea + Jalisco",program-leen,b2b-escuela-publica-leen,escuelas dignas jalisco,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-michoacan/index.html,Escuelas dignas Michoacán 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Michoacán: tu cancha F7 con La Escuela Es Nuestra 2026,"Escuelas dignas en Michoacán con La Escuela Es Nuestra 2026: $1,730 mdp asignado",program-leen,b2b-escuela-publica-leen,escuelas dignas michoacan,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-nuevo-leon/index.html,Escuelas dignas Nuevo León 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Nuevo León con cancha de fútbol 7,Escuelas dignas en Nuevo León 2026: monto por plantel del programa La Escuela Es,program-leen,b2b-escuela-publica-leen,escuelas dignas nuevo leon,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-oaxaca/index.html,Escuelas dignas Oaxaca 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Oaxaca: tu cancha F7 con La Escuela Es Nuestra 2026,"Escuelas dignas en Oaxaca con La Escuela Es Nuestra 2026: $2,000 mdp asignados p",program-leen,b2b-escuela-publica-leen,escuelas dignas oaxaca,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-puebla/index.html,Escuelas dignas Puebla 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Puebla con cancha de fútbol 7,Escuelas dignas en Puebla 2026: monto por plantel del programa La Escuela Es Nue,program-leen,b2b-escuela-publica-leen,escuelas dignas puebla,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-sonora/index.html,Escuelas dignas Sonora 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Sonora: tu cancha F7 con La Escuela Es Nuestra 2026,"Escuelas dignas en Sonora con La Escuela Es Nuestra 2026: $900 mdp para ~3,000 p",program-leen,b2b-escuela-publica-leen,escuelas dignas sonora,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-tabasco/index.html,Escuelas dignas Tabasco 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Tabasco: tu cancha F7 con La Escuela Es Nuestra 2026,"Escuelas dignas en Tabasco con La Escuela Es Nuestra 2026: $1,000 mdp asignados",program-leen,b2b-escuela-publica-leen,escuelas dignas tabasco,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-tlaxcala/index.html,Escuelas dignas Tlaxcala 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Tlaxcala: tu cancha F7 con La Escuela Es Nuestra 2026,Escuelas dignas en Tlaxcala con La Escuela Es Nuestra 2026: Tlaxcala arrancó el,program-leen,b2b-escuela-publica-leen,escuelas dignas tlaxcala,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-veracruz/index.html,Escuelas dignas Veracruz 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Veracruz con cancha de fútbol 7,Escuelas dignas en Veracruz 2026: monto por plantel del programa La Escuela Es N,program-leen,b2b-escuela-publica-leen,escuelas dignas veracruz,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/escuelas-dignas-yucatan/index.html,Escuelas dignas Yucatán 2026: cancha fútbol 7 con La Escuela Es Nuestra | Sportmaster,Escuelas dignas en Yucatán: tu cancha F7 con La Escuela Es Nuestra 2026,"Escuelas dignas en Yucatán con La Escuela Es Nuestra 2026: $1,200 mdp asignados",program-leen,b2b-escuela-publica-leen,escuelas dignas yucatan,2-organic,"LEEN program targets public schools via federal funds; organic SEO only, no Google Ads per Olga"
/index.html,Cuanto cuesta cancha futbol 7 | Precio 2026 | Sportmaster,Cuánto Cuesta Hacer una Cancha de Futbol 7,Conoce cuanto cuesta cancha futbol 7 con pasto sintético. Cotización en menos de,transactional,b2c-general,cuanto cuesta cancha futbol 7,1-ads,Home page receives Ads + organic; price-intent title; needs full conversion tracking
/instalacion-de-pasto-sintetico-para-canchas/index.html,Instalación de Pasto Sintético para Canchas | México,Instalación de pasto sintético para canchas deportivas,"Instalación de pasto sintético para canchas deportivas en México. Pasto, líneas,",transactional,mixed,instalacion pasto sintetico canchas,1-ads,Service landing; commercial intent; Ads-eligible
/la-escuela-es-nuestra/ceap/index.html,CEAP — Comité Escolar de Administración Participativa | Guía 2026,CEAP: el Comité Escolar de Administración Participativa,CEAP: el comité escolar elegido por padres que decide el gasto de La Escuela Es,program-leen,b2b-escuela-publica-leen,ceap comite escolar administracion participativa,2-organic,"LEEN cluster, public-school audience, organic only"
/la-escuela-es-nuestra/como-aplicar/index.html,Cómo aplicar al programa La Escuela Es Nuestra 2026: guía paso a paso,Cómo aplicar al programa La Escuela Es Nuestra,Cómo inscribirse al programa La Escuela Es Nuestra 2026 en 5 pasos: formar el CE,program-leen,b2b-escuela-publica-leen,como aplicar la escuela es nuestra 2026,2-organic,"LEEN cluster, public-school audience, organic only"
/la-escuela-es-nuestra/guia-pdf-source.html,Guía 2026 — La Escuela Es Nuestra · Canchas escolares con pasto sintético | Sportmaster,La Escuela Es Nuestra Tu cancha de fútbol 7,,program-leen,b2b-escuela-publica-leen,guia la escuela es nuestra pdf,2-organic,"LEEN cluster, public-school audience, organic only"
/la-escuela-es-nuestra/index.html,La Escuela Es Nuestra 2026: Guía oficial para construir tu cancha de fútbol 7 | Sportmaster,Tu cancha de fútbol 7 con La Escuela Es Nuestra,"Guía completa La Escuela Es Nuestra 2026: montos por escuela, cómo aplicar, calc",program-leen,b2b-escuela-publica-leen,la escuela es nuestra 2026,2-organic,"LEEN cluster, public-school audience, organic only"
/malla-ciclonica-para-canchas-de-futbol/index.html,Malla Ciclónica para Canchas de Fútbol | Sportmaster,Malla ciclónica para canchas de fútbol,Malla ciclónica para canchas de fútbol en México. Sistema mini estadio con poste,transactional,mixed,malla ciclonica canchas futbol,1-ads,Product/accessory landing; Ads-eligible
/mantenimiento-de-canchas-de-pasto-sintetico/index.html,Mantenimiento de Canchas de Pasto Sintético | Sportmaster,Mantenimiento de canchas de pasto sintético,"Mantenimiento de canchas de pasto sintético en México: cepillado, limpieza, revi",informational,mixed,mantenimiento canchas pasto sintetico,2-organic,Educational/SEO; low purchase intent on direct landing; organic
/medidas-cancha-futbol-7.html,Medidas de la cancha de fútbol 7 | 50×30 a 60×40 m oficiales + contracancha | Sportmaster,Medidas de la cancha de fútbol 7,"Medidas de la cancha de fútbol 7: oficial de 50×30 m a 60×40 m, con 1.5 m de con",informational,b2c-general,medidas cancha futbol 7,2-organic,Informational SEO query; no purchase intent; organic
/monterrey.html,Construcción de canchas deportivas en Monterrey | Sportmaster,Constructora deportiva en Monterrey y zona metropolitana,"Constructora de canchas deportivas en Monterrey y zona metro: fútbol 7, pasto si",local-seo,b2c-general,constructora canchas deportivas monterrey,1-ads,City-targeted commercial landing; geo-targeted Google Ads
/pasto-sintetico-deportivo/index.html,Pasto Sintético Deportivo para Canchas | Sportmaster,Pasto sintético deportivo para canchas de futbol,Pasto sintético deportivo para canchas de futbol en México. Venta e instalación,informational,mixed,pasto sintetico deportivo canchas futbol,2-organic,Broad SEO term; informational + product overview
/pasto-sintetico-fibrilado-para-canchas/index.html,Pasto Sintético Fibrilado para Canchas | Sportmaster,Pasto sintético fibrilado para canchas,"Pasto sintético fibrilado para canchas de futbol 5, futbol rápido y alto tráfico",informational,mixed,pasto sintetico fibrilado canchas,2-organic,Product-type SEO page; informational
/pasto-sintetico-hibrido-para-canchas/index.html,Pasto Sintético Híbrido para Canchas | Sportmaster,Pasto sintético híbrido para canchas,Pasto sintético híbrido para canchas deportivas con equilibrio entre resistencia,informational,mixed,pasto sintetico hibrido canchas,2-organic,Product-type SEO page; informational
/pasto-sintetico-monofilamento-para-canchas/index.html,Pasto Sintético Monofilamento para Canchas | Sportmaster,Pasto sintético monofilamento para canchas,"Pasto sintético monofilamento para canchas de futbol 7, soccer, clubes y proyect",informational,mixed,pasto sintetico monofilamento canchas,2-organic,Product-type SEO page; informational
/pasto-sintetico-para-cancha-de-futbol-precio-m2/index.html,Pasto Sintético para Cancha de Futbol Precio m2 | Sportmaster,Pasto sintético para cancha de futbol precio m2,Conoce qué define el precio m2 del pasto sintético para cancha de futbol en Méxi,transactional,b2c-general,pasto sintetico cancha futbol precio m2,1-ads,"Price-keyword landing, high commercial intent, Ads target"
/pasto-sintetico-precio.html,Pasto sintético precio en México 2026 | $250–$650 MXN m² | Sportmaster,Pasto sintético precio en México,Precio del pasto sintético en México 2026: desde $250 MXN/m² (deportivo básico),transactional,b2c-general,pasto sintetico precio mexico,1-ads,"Price-keyword landing, high commercial intent, Ads target"
/porterias-para-canchas-de-futbol/index.html,Porterías para Canchas de Fútbol | Móviles y Oficiales,Porterías para canchas de fútbol,Porterías para canchas de fútbol en México. Modelos oficiales y móviles con rued,transactional,mixed,porterias para canchas de futbol,1-ads,Product landing; commercial intent; Ads-eligible
/precios-pasto-sintetico-canchas-monterrey/index.html,Precios de Pasto Sintético para Canchas en Monterrey,Precio de pasto sintético para cancha de futbol,"Calcula el precio aproximado por m² y compara costos para Baby Fut, Futbol 7, Fu",transactional,b2c-general,precios pasto sintetico canchas monterrey,1-ads,"Price-keyword landing, high commercial intent, Ads target"
/renovacion-de-canchas-de-pasto-sintetico/index.html,Renovación de Canchas de Pasto Sintético | Sportmaster,Renovación de canchas de pasto sintético,"Renovación de canchas de pasto sintético en México: cambio de pasto viejo, línea",transactional,mixed,renovacion canchas pasto sintetico,1-ads,Service landing for replacement; commercial intent
/sportmaster-bancas-futbol/404.html,Página no encontrada · Bancas Sportmaster,404,,internal,internal,unknown,3-internal,Internal/admin or 404 page; no marketing tracking needed
/sportmaster-bancas-futbol/index.html,"Bancas Metálicas para Jugadores de Fútbol · 18 Modelos · 5, 7 y 11 jugadores · Sportmaster","Bancas para jugadores que se ven como estadio. Lona o policarbonato. 5, 7 u 11 jugadores. Individual",18 modelos de bancas metálicas para jugadores de fútbol con techumbre de lona o,transactional,mixed,bancas para jugadores futbol,1-ads,Product landing with price; Ads-eligible
/tipos-de-pasto-sintetico-para-canchas-de-futbol/index.html,Tipos de Pasto Sintético para Canchas de Futbol | Sportmaster,Tipos de pasto sintético para canchas de futbol,"Compara pasto sintético monofilamento, fibrilado e híbrido para canchas de futbo",comparison,mixed,tipos de pasto sintetico canchas futbol,2-organic,Comparative informational; SEO-driven; not primary Ads target
